standard,24121997,False,10,4,75,0,11,"[0, 2]","[0, 2]"
standard,24121997,False,10,4,75,0,11,"[0, 2]","[0, 2]"
standard,24121997,False,10,4,75,0,16,"[0, 3]","[0, 3]"
standard,24121997,False,10,4,75,1,21,"[0, 4]","[0, 4]"
standard,24121997,False,10,4,75,0,11,"[0, 2]","[0, 2]"
standard,24121997,False,10,4,75,0,16,"[0, 3]","[0, 3]"
standard,24121997,False,10,4,75,0,11,"[0, 2]","[0, 2]"
standard,24121997,False,10,4,75,0,21,"[0, 4]","[0, 4]"
standard,24121997,False,10,4,75,0,16,"[0, 3]","[0, 3]"
standard,24121997,False,10,4,75,0,6,"[0, 1]","[0, 1]"
standard,24121997,False,10,4,75,0,31,"[0, 6]","[0, 6]"
standard,24121997,False,10,4,75,0,16,"[0, 3]","[0, 3]"
standard,24121997,False,10,4,75,0,11,"[0, 2]","[0, 2]"
standard,24121997,False,10,4,75,0,41,"[0, 8]","[0, 8]"
standard,24121997,False,10,4,75,0,36,"[0, 7]","[0, 7]"
standard,24121997,False,10,4,75,0,31,"[0, 6]","[0, 6]"
standard,24121997,False,10,4,75,0,46,"[0, 9]","[0, 9]"
standard,24121997,False,10,4,75,0,31,"[0, 6]","[0, 6]"
standard,24121997,False,10,4,75,0,21,"[0, 4]","[0, 4]"
standard,24121997,False,10,4,75,0,6,"[0, 1]","[0, 1]"
standard,24121997,False,10,4,75,0,21,"[0, 4]","[0, 4]"
standard,24121997,False,10,4,75,0,16,"[0, 3]","[0, 3]"
standard,24121997,False,10,4,75,0,6,"[0, 1]","[0, 1]"
standard,24121997,False,10,4,75,0,31,"[0, 6]","[0, 6]"
standard,24121997,False,10,4,75,0,16,"[0, 3]","[0, 3]"
standard,24121997,False,10,4,75,0,56,"[0, 11]","[0, 11]"
standard,24121997,False,10,4,75,0,16,"[0, 3]","[0, 3]"
standard,24121997,False,10,4,75,0,31,"[0, 6]","[0, 6]"
standard,24121997,False,10,4,75,0,16,"[0, 3]","[0, 3]"
standard,24121997,False,10,4,75,0,6,"[0, 1]","[0, 1]"
standard,24121997,False,10,4,75,0,6,"[0, 1]","[0, 1]"
standard,24121997,False,10,4,75,0,6,"[0, 1]","[0, 1]"
standard,24121997,False,10,4,75,1,21,"[0, 4]","[0, 4]"
standard,24121997,False,10,4,75,0,21,"[0, 4]","[0, 4]"
